date;AAPL;GE;GME;PG;TSLA
2001-08-31;0.040381;0.019403;;-0.005899;
2001-09-04;-0.016173;-0.00366;;0.018476;
2001-09-05;0.016438;0.021308;;0.004767;
2001-09-06;-0.044744;-0.028777;;-0.005008;
2001-09-07;-0.024831;-0.020741;;-0.015232;
2001-09-10;0.005208;-0.007816;;-0.002018;
2001-09-17;-0.021877;-0.106734;;0.004717;
2001-09-18;-0.041789;-0.036984;;-0.004695;
2001-09-19;0.045455;-0.039882;;0.004717;
2001-09-20;-0.078731;-0.065538;;-0.02334;
2001-09-21;0.003189;0.030622;;-0.079797;
2001-09-24;0.045773;0.124601;;0.036716;
2001-09-25;-0.055319;0.008523;;0.022171;
2001-09-26;-0.025097;0.003944;;0.001831;
2001-09-27;0.023762;0.013247;;0.017855;
2001-09-28;0.0;0.034771;;0.005387;
2001-10-01;0.001934;0.011828;;-0.005495;
2001-10-02;-0.031532;0.010893;;0.012295;
2001-10-03;-0.004651;0.002628;;-0.000409;
2001-10-04;0.06008;-0.019921;;-0.027986;
2001-10-05;0.016373;0.001605;;0.020927;
2001-10-08;0.003718;-0.017357;;-0.006053;
2001-10-09;-0.012346;0.000543;;0.004014;
2001-10-10;0.05125;0.029604;;0.011028;
2001-10-11;0.054697;0.027433;;-0.010226;
2001-10-12;0.01522;0.001284;;-0.008954;
2001-10-15;-0.001111;-0.00359;;-0.011537;
2001-10-16;0.001112;-0.010036;;-0.002531;
2001-10-17;-0.056635;-0.037432;;-0.010574;
2001-10-18;0.059447;0.005941;;0.007163;
2001-10-19;0.016667;0.0;;0.020626;
2001-10-22;0.039344;0.009664;;0.009756;
2001-10-23;-0.046267;-0.00904;;-0.013113;
2001-10-24;0.044653;-0.005098;;-0.001399;
2001-10-25;0.012665;0.021305;;0.012465;
2001-10-26;-0.027098;0.02667;;0.014663;
2001-10-29;-0.055704;-0.037294;;-0.027948;
2001-10-30;-0.001702;-0.029121;;0.040673;
2001-10-31;-0.002273;0.001926;;-0.00566;
2001-11-01;0.058656;0.041198;;0.029818;
2001-11-02;-0.001076;0.001319;;0.000263;
2001-11-05;0.026925;0.021338;;0.012237;
2001-11-06;0.026219;0.026567;;0.013909;
2001-11-07;0.001022;-0.011307;;0.00141;
2001-11-08;-0.044921;0.025413;;-0.018052;
2001-11-09;0.0;0.001487;;0.007953;
2001-11-12;0.002138;-0.024251;;-0.000517;
2001-11-13;0.033067;0.028658;;0.007636;
2001-11-14;0.01239;0.00789;;0.004752;
2001-11-15;-0.008159;0.016389;;0.000767;
2001-11-16;-0.024679;-0.016847;;0.005748;
2001-11-19;0.054296;0.009792;;-0.000762;
2001-11-20;-0.0235;-0.003636;;-0.002288;
2001-11-21;0.00768;-0.015815;;-0.007643;
2001-11-23;0.00813;0.014092;;0.00706;
2001-11-26;0.077117;0.007313;;-0.003824;
2001-11-27;-0.017314;-0.00605;;-0.01318;
2001-11-28;-0.022381;-0.04188;;-0.014523;
2001-11-29;-0.005358;0.009657;;0.018947;
2001-11-30;0.043095;-0.030959;;0.000258;
2001-12-03;-0.011737;-0.041039;;-0.014975;
2001-12-04;0.064133;0.011647;;0.000524;
2001-12-05;0.060714;0.005355;;0.004716;
2001-12-06;-0.041246;0.005326;;-0.013038;
2001-12-07;-0.010536;-0.015894;;-0.003567;
2001-12-10;0.0;-0.009421;;0.017102;
2001-12-11;-0.033718;-0.000272;;-0.000261;
2001-12-12;-0.013315;0.007067;;0.042373;
2001-12-13;-0.022801;0.0;;0.011883;
2001-12-14;-0.029048;0.016194;;-0.012361;
2001-12-17;0.01128;0.017264;;-0.001252;
2001-12-18;0.018914;0.037076;;0.019799;
2001-12-19;0.029034;0.026687;;0.000983;
2001-12-20;-0.043941;0.001471;;-0.00577;
2001-12-21;0.015965;0.012488;;-0.004322;
2001-12-24;0.017143;-0.00532;;-0.004712;
2001-12-26;0.006086;-0.014102;;0.00299;
2001-12-27;0.026989;0.014303;;-0.004348;
2001-12-28;0.016312;-0.005372;;-0.007985;
2001-12-31;-0.023629;-0.015959;;-0.004779;
2002-01-02;0.063927;0.021707;;0.010995;
2002-01-03;0.012017;-0.008303;;-0.009625;
2002-01-04;0.004665;0.008372;;-0.009845;
2002-01-07;-0.033347;-0.038828;;-0.011472;
2002-01-08;-0.012664;-0.010417;;0.002708;
2002-01-09;-0.042459;-0.01027;;-0.007202;
2002-01-10;-0.0194;0.001556;;-0.003497;
2002-01-11;-0.008479;-0.009842;;0.00364;
2002-01-14;0.004751;-0.008632;;0.019298;
2002-01-15;0.026005;0.021372;;0.012071;
2002-01-16;-0.042396;-0.025575;;0.002762;
